lender,month_start,product_type,isautoleadcreated,major_index,original_major_stage,sub_stage,Leads,Stuck%
PYFL,2.LMTD,Renewal,Flow1(Auto),7.0,Selfie uploaded,,604,
PYFL,1.MTD,Fresh,Flow2(Manual),7.0,Selfie uploaded,,604,
FULLERTON,2.LMTD,Fresh,Flow2(Manual),8.1,KYC completed,BRE2_FAILURE,603,17.3
MFL,2.LMTD,Fresh,Flow1(Auto),10.0,Disbursal acc verified,,601,
PYFL,2.LMTD,Fresh,Flow1(Auto),13.0,Application submitted by user,,600,
PYFL,2.LMTD,Fresh,Flow1(Auto),11.0,Review submit,,600,
SHRIRAM,1.MTD,Fresh,Flow2(Manual),11.0,Review submit,,600,
FULLERTON,1.MTD,Renewal,Flow2(Manual),14.0,Submit to LMS,,592,
FULLERTON,2.LMTD,Renewal,Flow1(Auto),14.0,Submit to LMS,,588,
SHRIRAM,1.MTD,Fresh,Flow1(Auto),15.0,Disbursed,,583,
UCL,1.MTD,MicroML,Flow2(Manual),8.0,KYC completed,,580,
PIRAMAL,1.MTD,Fresh,Flow1(Auto),12.0,Mandate done,,578,
PIRAMAL,1.MTD,Fresh,Flow2(Manual),11.0,Review submit,,578,
MFL,2.LMTD,Renewal,Flow1(Auto),7.0,Selfie uploaded,,577,
PIRAMAL,1.MTD,Fresh,Flow1(Auto),13.0,Application submitted by user,,576,
KSF,1.MTD,Fresh,Flow2(Manual),12.0,Mandate done,,576,
KSF,1.MTD,Fresh,Flow2(Manual),13.0,Application submitted by user,,574,
FULLERTON,2.LMTD,Renewal,Flow2(Manual),11.0,Review submit,,574,
MFL,1.MTD,Renewal,Flow1(Auto),2.0,Workable leads,,573,
MFL,1.MTD,Renewal,Flow1(Auto),6.0,Child_Lead_Created,,573,
PYFL,1.MTD,Fresh,Flow2(Manual),8.0,KYC completed,,571,
MFL,2.LMTD,Fresh,Flow1(Auto),11.0,Review submit,,568,
KSF,1.MTD,Fresh,Flow1(Auto),12.0,Mandate done,,568,
FULLERTON,1.MTD,Renewal,Flow1(Auto),1002.0,Unmapped,,565,
KSF,1.MTD,Fresh,Flow1(Auto),13.0,Application submitted by user,,565,
NACL,2.LMTD,Fresh,Flow2(Manual),6.0,Child_Lead_Created,,563,
NACL,2.LMTD,Fresh,Flow2(Manual),2.0,Workable leads,,563,
PYFL,1.MTD,Renewal,Flow1(Auto),13.0,Application submitted by user,,562,
PYFL,1.MTD,Renewal,Flow1(Auto),11.0,Review submit,,562,
KSF,1.MTD,Renewal,Flow2(Manual),7.0,Selfie uploaded,,561,
